
 PRINT S    NODAL SOLUTION PER NODE
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
     194   0.103813       0.598763E-001  0.235253      -0.171680E-003  0.103720      -0.429381E-003
     195   0.935584E-001  0.650581E-001  0.207361       0.180720E-002  0.118774      -0.333753E-002
     196   0.103933       0.723225E-001  0.231050      -0.546997E-003  0.115008      -0.661489E-002
     197   0.123414       0.908739E-001  0.260034       0.423666E-002  0.113933      -0.733376E-002
     198   0.894389E-001  0.642789E-001  0.192517      -0.506361E-003  0.119678      -0.692350E-002
     199   0.116144       0.682637E-001  0.268793       0.190293E-002  0.122050      -0.585627E-002
     200   0.695458E-001  0.753052E-001  0.152165       0.506617E-002 -0.213354       0.565302E-001
     201   0.927194E-001  0.141615       0.254990      -0.435548E-002 -0.305734       0.935661E-001
     202   0.221673       0.292048       0.537252      -0.621390E-002 -0.481153       0.190475     
     203   0.295642       0.516022       0.884195       0.944019E-002 -0.852275       0.327426     
     204  -0.769326E-002 -0.157976E-001  0.127009E-001  0.112798E-001  0.382659E-003  0.183717E-003
     205  -0.156990E-001 -0.834508E-002  0.133547E-001  0.137112E-001 -0.392326E-004  0.829102E-004
     206  -0.872439E-002 -0.788979E-002  0.158101E-001  0.129045E-001 -0.108082E-002  0.154259E-003
     207   0.388694E-001  0.771144E-001  0.114573       0.538868E-002  0.220259      -0.475853E-001
     208   0.911870E-001  0.141329       0.270204       0.266646E-002  0.314498      -0.853271E-001
     209   0.161726       0.265101       0.517384       0.590786E-002  0.493013      -0.150593     
     210   0.280931       0.516563       0.913317       0.392070E-001  0.886560      -0.311858     
     211   0.550092        7.63972        1.02979      -0.438989       0.143756      -0.325578E-001
     212    1.93218        7.34147        1.48386        3.85519      -0.540394      -0.238771     
     213   0.566585        5.31593       0.452195       -1.76640      -0.398991       0.159930     
     214    1.43572        9.39880        1.91173        2.58855       0.306952       0.175418E-001
     215   0.706022        4.21855       0.363081        1.49415       0.402814       0.169107     
     216    1.57624        9.29704        1.65271       -2.19479      -0.862710E-001 -0.209431E-001
     217   0.718701        7.64227       0.997729       0.547174      -0.283191       0.337015E-002
     218    2.37380        6.74141        1.36986       -4.00915       0.483681      -0.220551     
     219  -0.904651       0.213842      -0.348603       0.812878E-001  0.189458       0.342628     
     220   0.121148        1.16488      -0.175491       0.634033      -0.313962      -0.281280     
     221   0.812273       -1.57325      -0.238940E-001  -2.72324      -0.459733       0.478836     
     222  -0.765073       -4.61606      -0.863746        1.67241      -0.230394      -0.430709     
     223   0.493303       -4.23748      -0.540582       -1.65523       0.419526      -0.597114     
     224    1.52342       -2.40173       0.501354E-002   2.60212       0.540426       0.479645     
     225  -0.199928        1.39040      -0.207889      -0.662985       0.188968      -0.210941     
     226  -0.704490       0.594539      -0.335608      -0.275445      -0.178454       0.256834     
     227   -3.16519      -0.462266      -0.909921       0.955985E-002  0.219519E-002  0.327546E-002
     228   -5.08165       -7.11319       -1.71638      -0.628959E-002  0.170564E-001  0.167519     
     229   -2.76318      -0.447814      -0.827183      -0.231863      -0.206615E-001 -0.925779E-001
     230   -5.92160       -7.49956       -2.27620      -0.157384      -0.492323E-001  0.129606     
     231    2.30067        7.90435        2.14408        3.34209      -0.130725       0.883148E-002
     232   0.466683        5.78002       0.749864       -1.20974      -0.578547E-001  0.778404E-002
     233  -0.515710       0.583016      -0.428477       0.313217       0.263519E-001  0.601875E-001
     234   0.703634        6.51659       0.968431       0.950078       0.277531E-001  0.406403E-001
     235    2.16382        7.53276        2.07277       -3.58894       0.107046      -0.511640E-001
     236  -0.312499E-001  0.941505       0.250678E-001 -0.397770E-002 -0.362638      -0.338115E-001
     237  -0.191677E-001  0.394843      -0.253058E-001 -0.172621E-002  0.183750       0.152527E-001
     238  -0.443677E-002  0.234214      -0.133125E-001 -0.614996E-002 -0.131668E-001 -0.396804E-003
     239   0.359421E-002  0.826377       0.158744E-001 -0.104892E-001 -0.106574E-001  0.342850E-003
     240   0.500496E-002   1.10554       0.389538E-001  0.302141E-002  0.189225E-001 -0.509166E-003
     241  -0.900769E-002  0.583457      -0.276730E-001  0.222813E-001  0.290746E-001 -0.149107E-002
     242  -0.536768E-002  0.506894      -0.442238E-001 -0.108805E-001 -0.120213E-001 -0.175944E-002
     243   0.231487E-002   1.27202       0.170906E-001 -0.126533E-001 -0.265231E-001  0.104442E-002
     244   0.473114E-002   1.68072       0.204228E-001 -0.180960E-002 -0.515831E-002  0.743617E-003
     245   0.223145E-003   1.66232       0.245656E-002  0.138344E-002  0.365685E-002  0.285150E-003
     246   0.334457E-003   1.54411      -0.447389E-002  0.243602E-002  0.337111E-002 -0.869049E-003
     247  -0.753577E-002   1.34014       0.133617       0.107795E-001  0.107868       0.350722E-002
     248  -0.769095E-002  0.231936       0.949847E-003 -0.255827E-002 -0.128313      -0.284522E-003
     249  -0.835370E-003   1.44510       0.404451E-001  0.427952E-002 -0.385127E-001  0.173230E-002
     250  -0.131512E-003   1.58625      -0.503595E-002  0.229804E-002 -0.791223E-003  0.394995E-003
     251   0.394431E-002   1.69350       0.783471E-002  0.337535E-002 -0.216449E-002 -0.573170E-003
     252   0.546103E-002   1.60676       0.252042E-001  0.510001E-002  0.113237E-001 -0.127224E-002
     253   0.443459E-002   1.01331       0.748146E-003 -0.219791E-001  0.249757E-001  0.184666E-003
     254  -0.162330E-001  0.405628      -0.573728E-001  0.100285E-001 -0.797521E-002  0.246801E-002
     255   0.491577E-003  0.808016       0.357933E-002  0.206450E-001 -0.395604E-001  0.548413E-004
     256   0.108879E-001   1.09036       0.359635E-001  0.607084E-002 -0.660602E-002 -0.101254E-002
     257   0.161416E-003  0.629483       0.421463E-002 -0.893555E-002  0.141635E-001  0.451055E-003
     258  -0.227521E-002  0.777578E-001 -0.209308E-001 -0.581958E-003  0.698631E-002  0.489509E-003
     259  -0.275297E-001   1.01938       0.339545       0.941787E-002  0.185543E-001  0.306853E-002
